"postnr";"postnr_by";"kommuner"
"6092";"Sønder Stenderup";"0621 Kolding"
"6400";"Sønderborg";"0540 Sønderborg"
"5471";"Søndersø";"0480 Nordfyns"
"7550";"Sørvad";"0657 Herning"
"2630";"Taastrup";"0165 Albertslund, 0169 Høje-Taastrup, 0183 Ishøj"
"4733";"Tappernøje";"0320 Faxe, 0370 Næstved, 0390 Vordingborg"
"6880";"Tarm";"0573 Varde, 0760 Ringkøbing-Skjern"
"9575";"Terndrup";"0840 Rebild"
"8653";"Them";"0740 Silkeborg"
"7700";"Thisted";"0787 Thisted"
"8881";"Thorsø";"0710 Favrskov, 0740 Silkeborg"
"7680";"Thyborøn";"0665 Lemvig"
"7790";"Thyholm";"0671 Struer"
"3080";"Tikøb";"0217 Helsingør"
"8381";"Tilst";"0751 Aarhus"
"6980";"Tim";"0760 Ringkøbing-Skjern"
"6360";"Tinglev";"0580 Aabenraa"
"6862";"Tistrup";"0573 Varde"
"3220";"Tisvildeleje";"0270 Gribskov"
"8830";"Tjele";"0791 Viborg"
"6731";"Tjæreborg";"0561 Esbjerg"
"6520";"Toftlund";"0510 Haderslev, 0550 Tønder"
"5690";"Tommerup";"0420 Assens"
"4891";"Toreby L";"0376 Guldborgsund"
"4943";"Torrig L";"0360 Lolland"
"8310";"Tranbjerg J";"0751 Aarhus"
"5953";"Tranekær";"0482 Langeland"
"8380";"Trige";"0710 Favrskov, 0751 Aarhus"
"8570";"Trustrup";"0706 Syddjurs, 0707 Norddjurs"
"4030";"Tune";"0253 Greve, 0265 Roskilde"
"8799";"Tunø";"0727 Odder"
"4682";"Tureby";"0259 Køge, 0320 Faxe, 0336 Stevns"
"9382";"Tylstrup";"0810 Brønderslev, 0849 Jammerbugt, 0851 Aalborg"
"9830";"Tårs";"0813 Frederikshavn, 0860 Hjørring"
"4340";"Tølløse";"0316 Holbæk, 0350 Lejre"
"6270";"Tønder";"0550 Tønder"
"7160";"Tørring";"0630 Vejle, 0756 Ikast-Brande, 0766 Hedensted"
"4350";"Ugerløse";"0316 Holbæk"
"7171";"Uldum";"0766 Hedensted"
"6990";"Ulfborg";"0657 Herning, 0661 Holstebro, 0665 Lemvig, 0760 Ringkøbing-Skjern"
"5540";"Ullerslev";"0440 Kerteminde, 0450 Nyborg"
"8860";"Ulstrup";"0710 Favrskov, 0730 Randers, 0791 Viborg"
"9430";"Vadum";"0849 Jammerbugt, 0851 Aalborg"
"2500";"Valby";"0101 København, 0147 Frederiksberg"
"2625";"Vallensbæk";"0187 Vallensbæk"
"2665";"Vallensbæk Strand";"0187 Vallensbæk"
"6580";"Vamdrup";"0621 Kolding"
"7184";"Vandel";"0630 Vejle"
"2720";"Vanløse";"0101 København, 0147 Frederiksberg"
"6800";"Varde";"0573 Varde"
"2950";"Vedbæk";"0223 Hørsholm, 0230 Rudersdal"
"5474";"Veflinge";"0480 Nordfyns"
"3210";"Vejby";"0270 Gribskov"
"6600";"Vejen";"0575 Vejen"
"6853";"Vejers Strand";"0573 Varde"
"7100";"Vejle";"0630 Vejle, 0766 Hedensted"
"7120";"Vejle Øst";"0630 Vejle, 0766 Hedensted"
"5882";"Vejstrup";"0479 Svendborg"
"3670";"Veksø Sjælland";"0240 Egedal, 0265 Roskilde"
"7570";"Vemb";"0661 Holstebro, 0665 Lemvig"
"4241";"Vemmelev";"0330 Slagelse"
"7742";"Vesløs";"0787 Thisted"
"9380";"Vestbjerg";"0851 Aalborg"
"5762";"Vester Skerninge";"0430 Faaborg-Midtfyn, 0479 Svendborg"
"4953";"Vesterborg";"0360 Lolland"
"7770";"Vestervig";"0787 Thisted"
"8800";"Viborg";"0740 Silkeborg, 0791 Viborg"
"8260";"Viby J";"0751 Aarhus"
"4130";"Viby Sjælland";"0259 Køge, 0265 Roskilde"
"6920";"Videbæk";"0760 Ringkøbing-Skjern"
"4560";"Vig";"0306 Odsherred"
"7480";"Vildbjerg";"0657 Herning, 0760 Ringkøbing-Skjern"
"7980";"Vils";"0773 Morsø"
"7830";"Vinderup";"0657 Herning, 0661 Holstebro, 0671 Struer, 0779 Skive"
"4390";"Vipperød";"0316 Holbæk"
"2830";"Virum";"0173 Lyngby-Taarbæk, 0230 Rudersdal"
"5492";"Vissenbjerg";"0420 Assens, 0461 Odense, 0480 Nordfyns"
"6052";"Viuf";"0621 Kolding, 0630 Vejle"
"9310";"Vodskov";"0851 Aalborg"
"6500";"Vojens";"0510 Haderslev"
"7173";"Vonge";"0630 Vejle"
"6623";"Vorbasse";"0530 Billund, 0575 Vejen, 0630 Vejle"
"4760";"Vordingborg";"0390 Vordingborg"
"9760";"Vrå";"0810 Brønderslev, 0860 Hjørring"
"4873";"Væggerløse";"0376 Guldborgsund"
"3500";"Værløse";"0151 Ballerup, 0159 Gladsaxe, 0173 Lyngby-Taarbæk, 0190 Furesø, 0240 Egedal"
"8230";"Åbyhøj";"0751 Aarhus"
"9982";"Ålbæk";"0813 Frederikshavn, 0860 Hjørring"
"3140";"Ålsgårde";"0217 Helsingør"
"6818";"Årre";"0561 Esbjerg, 0573 Varde"
"5792";"Årslev";"0430 Faaborg-Midtfyn"
"5970";"Ærøskøbing";"0492 Ærø"
"6870";"Ølgod";"0573 Varde, 0760 Ringkøbing-Skjern"
"3310";"Ølsted";"0219 Hillerød, 0260 Halsnæs"
"3650";"Ølstykke";"0240 Egedal"
"5853";"Ørbæk";"0430 Faaborg-Midtfyn, 0450 Nyborg"
"6973";"Ørnhøj";"0657 Herning, 0760 Ringkøbing-Skjern"
"8950";"Ørsted";"0707 Norddjurs"
"8586";"Ørum Djurs";"0707 Norddjurs"
"8752";"Østbirk";"0615 Horsens"
"7990";"Øster Assels";"0773 Morsø"
"4894";"Øster Ulslev";"0360 Lolland, 0376 Guldborgsund"
"3751";"Østermarie";"0400 Bornholm"
"9750";"Østervrå";"0810 Brønderslev, 0813 Frederikshavn, 0860 Hjørring"
